athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath,careerStart,careerEnd
Q104176164,taekwondo athlete,2001-04-03T00:00:00Z,2020-10-31T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z
Q106812668,boxing,1977-08-11T00:00:00Z,2001-01-17T00:00:00Z,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
Q106812668,boxer,1977-08-11T00:00:00Z,2001-01-17T00:00:00Z,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
Q109485234,Greco-Roman wrestling,1910-01-01T00:00:00Z,1941-01-01T00:00:00Z,1929-01-01T00:00:00Z,1941-01-01T00:00:00Z
Q120265882,Muay Thai,1984-11-20T00:00:00Z,2015-10-10T00:00:00Z,1998-01-01T00:00:00Z,0200-01-01T00:00:00Z
Q132736383,tennis,1801-01-01T00:00:00Z,1999-01-01T00:00:00Z,1916-01-01T00:00:00Z,1918-01-01T00:00:00Z
Q132736383,tennis player,1801-01-01T00:00:00Z,1999-01-01T00:00:00Z,1916-01-01T00:00:00Z,1918-01-01T00:00:00Z
Q134509557,archery,1901-01-01T00:00:00Z,1999-01-01T00:00:00Z,1947-01-01T00:00:00Z,1952-01-01T00:00:00Z
Q15074575,bandy,1951-07-20T00:00:00Z,2017-10-11T00:00:00Z,1970-01-01T00:00:00Z,1987-01-01T00:00:00Z
Q15074575,bandy player,1951-07-20T00:00:00Z,2017-10-11T00:00:00Z,1970-01-01T00:00:00Z,1987-01-01T00:00:00Z
Q1606866,basketball,1936-04-18T00:00:00Z,2024-12-02T00:00:00Z,1959-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q1606866,basketball player,1936-04-18T00:00:00Z,2024-12-02T00:00:00Z,1959-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q16735693,wrestling,1932-08-26T00:00:00Z,2011-03-01T00:00:00Z,1946-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q16735693,boxing,1932-08-26T00:00:00Z,2011-03-01T00:00:00Z,1946-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q16735693,sambo,1932-08-26T00:00:00Z,2011-03-01T00:00:00Z,1946-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q16735693,boxer,1932-08-26T00:00:00Z,2011-03-01T00:00:00Z,1946-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q16735693,amateur wrestler,1932-08-26T00:00:00Z,2011-03-01T00:00:00Z,1946-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q18014902,weightlifting,1933-05-12T00:00:00Z,2016-08-14T00:00:00Z,1953-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q18014902,freestyle wrestling,1933-05-12T00:00:00Z,2016-08-14T00:00:00Z,1953-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q18014902,Greco-Roman wrestling,1933-05-12T00:00:00Z,2016-08-14T00:00:00Z,1953-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q18014902,judo,1933-05-12T00:00:00Z,2016-08-14T00:00:00Z,1953-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q18014902,sambo,1933-05-12T00:00:00Z,2016-08-14T00:00:00Z,1953-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q18280762,handball,1938-04-06T00:00:00Z,2011-05-01T00:00:00Z,1956-01-01T00:00:00Z,1984-01-01T00:00:00Z
Q18280762,handball,1938-04-06T00:00:00Z,2011-05-20T00:00:00Z,1956-01-01T00:00:00Z,1984-01-01T00:00:00Z
Q18280762,handball player,1938-04-06T00:00:00Z,2011-05-01T00:00:00Z,1956-01-01T00:00:00Z,1984-01-01T00:00:00Z
Q18280762,handball player,1938-04-06T00:00:00Z,2011-05-20T00:00:00Z,1956-01-01T00:00:00Z,1984-01-01T00:00:00Z
Q22045732,cross-country skiing,1967-05-14T00:00:00Z,2015-04-01T00:00:00Z,1992-01-01T00:00:00Z,2002-01-01T00:00:00Z
Q22045732,cross-country skier,1967-05-14T00:00:00Z,2015-04-01T00:00:00Z,1992-01-01T00:00:00Z,2002-01-01T00:00:00Z
Q26212540,weightlifting,1932-04-04T00:00:00Z,2014-07-06T00:00:00Z,1947-01-01T00:00:00Z,1968-01-01T00:00:00Z
