countryLabel,lifeExpectancy
Canada,83.62
Japan,83.98488
Norway,82.50976
Ireland,83
Hungary,70.67707
Hungary,71.24634
Hungary,72.24878
Hungary,72.3
Hungary,72.34878
Hungary,72.64878
Hungary,73.09756
Hungary,73.15122
Hungary,73.70244
Hungary,73.90488
Hungary,74
Hungary,74.20732
Hungary,74.85854
Hungary,75.06341
Hungary,75.56585
Hungary,75.56829
Hungary,75.76341
Hungary,76
Spain,78.71707
Spain,78.96585
Spain,79.36829
Spain,79.56829
Spain,79.61951
Spain,79.87073
Spain,80.17073
Spain,80.82195
Spain,80.87317
Spain,81.17561
Spain,81.47561
Spain,81.62683
Spain,82
Spain,82.339179
Spain,82.42683
Spain,82.47561
Spain,82.83171
Spain,83
Spain,83.07805
Spain,83.189347
Spain,83.22927
Spain,83.33
Spain,83.578674
Spain,84
United States,77
Belgium,81.69
Luxembourg,83
Finland,81.2
Sweden,82.20488
Denmark,80.70488
Poland,76
Lithuania,74.32195
Italy,82.5439
Switzerland,83
Austria,81
Greece,81.1
Turkey,78
Portugal,81.12683
Netherlands,81.50976
Uruguay,77.493
Egypt,71.484
Mexico,75
Kenya,67.032
Ethiopia,65.475
Ghana,62.742
France,82
United Kingdom,80.9561
People's Republic of China,79
Brazil,75.723
Russia,71.59293
Germany,81.9
Belarus,73.82683
Iceland,82
Estonia,78
Latvia,74.52927
Ukraine,69
Czech Republic,79
Slovakia,77
Slovenia,81
Moldova,71.61
Romania,75
Bulgaria,73.47
North Macedonia,75.703
Albania,78.345
Greenland,71.83049
Croatia,78.02195
Bosnia and Herzegovina,76.911
Azerbaijan,72.026
Cyprus,80.508
Georgia,73.261
Kazakhstan,72.3
Malta,81.79756
Montenegro,77.116
San Marino,85.41707
Cuba,78
Belize,71
Barbados,78
Indonesia,69.191
Bolivia,65
Trinidad and Tobago,70.673
Saint Vincent and the Grenadines,73.179
Saint Lucia,71
Saint Kitts and Nevis,72
Jamaica,71
Grenada,75
Guatemala,73.409
The Bahamas,75.675
Antigua and Barbuda,79
Honduras,73.575
Dominica,73
Dominican Republic,74
Haiti,63.33
El Salvador,73.512
Iran,75
Iraq,69.862
Costa Rica,79.831
Israel,82.6
Panama,77
Yemen,64.953
Jordan,74.329
Nicaragua,75
Kyrgyzstan,70.95122
Kuwait,74.694
Laos,69
Lebanon,79.584
Maldives,77.339
Malaysia,75.3
Myanmar,69.62
Nepal,72.12
Oman,77.029
Pakistan,62.476
Pakistan,62.727
Pakistan,62.967
Pakistan,63.196
Pakistan,63.414
Pakistan,63.625
Pakistan,63.836
Pakistan,64.06
Pakistan,64.303
Pakistan,64.565
Pakistan,64.845
Pakistan,65.134
Pakistan,65.419
Pakistan,65.686
Pakistan,65.927
Pakistan,66
Pakistan,66.139
Pakistan,66.322
Pakistan,66.481
Pakistan,67
Pakistan,69.37
Qatar,78.184
Saudi Arabia,74.561
Sri Lanka,77.75
Syria,72
Tajikistan,71.051
Taiwan,79.12
Thailand,80
Turkmenistan,67.835
United Arab Emirates,77.256
Vietnam,76.253
South Korea,82.02439
Afghanistan,63.673
Bangladesh,74
Mali,57.966
Angola,61.547
Bhutan,71.5
Brunei,77.203
Tanzania,65.675
Philippines,71.095
Central African Republic,52.171
Togo,60.232
Tunisia,75.731
Zambia,61.874
Zimbabwe,61.163
South Sudan,56.811
Benin,60.907
Botswana,66.797
Burkina Faso,60.361
Burundi,57.481
Comoros,63.701
Republic of the Congo,64.625
Democratic Republic of the Congo,59.621
Djibouti,62.465
Equatorial Guinea,57.681
Eritrea,65.092
Gabon,66.105
The Gambia,61.193
Guinea,60.015
Guinea-Bissau,59.86
Ivory Coast,53.582
Cameroon,58.073
Cape Verde,72.798
Lesotho,54.174
Liberia,62.505
Libya,71.934
Madagascar,65.932
Malawi,63.223
State of Palestine,73
Mauritania,63.238
Mauritius,74.39488
Morocco,75.821
Mozambique,58.311
Namibia,64.388
Niger,60.058
Nigeria,53.428
Uganda,59.889
Rwanda,70.52
São Tomé and Príncipe,66.624
Senegal,67.146
Seychelles,74.30976
Sierra Leone,51.835
Somalia,56.293
Sudan,64.486
Eswatini,57.754
Aruba,75.867
Sint Maarten,73.05366
South Africa,62.774
Algeria,77.13
Uzbekistan,71.314
Chile,80
Singapore,82.79512
Liechtenstein,82.6561
Bahrain,76.9
Armenia,74.618
Serbia,75
Australia,83.2
Argentina,76
Peru,73
North Korea,71.685
Cambodia,68.981
Timor-Leste,68.881
Chad,52.903
New Zealand,81.61244
India,70.03
Tuvalu,64
Tuvalu,65
Tonga,73.029
Samoa,75.013
Solomon Islands,70.726
Vanuatu,72.133
Papua New Guinea,66
Palau,69.12927
Nauru,64
Federated States of Micronesia,69.195
Marshall Islands,65.23902
Kiribati,68
Mongolia,73
Fiji,68
Venezuela,71
Suriname,70
Paraguay,70
Guyana,66
Ecuador,78
Colombia,74
