athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q1347670,Eric Esch,mixed martial arts,United States
http://www.wikidata.org/entity/Q2057125,Rafael Cavalcante,mixed martial arts,Brazil
http://www.wikidata.org/entity/Q1107978,Cole Konrad,mixed martial arts,United States
http://www.wikidata.org/entity/Q1510025,Gerald Turek,mixed martial arts,Austria
http://www.wikidata.org/entity/Q1758523,Elvis Sinosic,mixed martial arts,Australia
http://www.wikidata.org/entity/Q1349552,Benson Henderson,mixed martial arts,United States
http://www.wikidata.org/entity/Q1346441,Matt Lindland,mixed martial arts,United States
http://www.wikidata.org/entity/Q1071911,Sylvester Terkay,mixed martial arts,United States
http://www.wikidata.org/entity/Q1511547,Gerhard Ettl,mixed martial arts,Austria
http://www.wikidata.org/entity/Q1277223,Ben Rothwell,mixed martial arts,United States
http://www.wikidata.org/entity/Q1239160,Don Frye,mixed martial arts,United States
http://www.wikidata.org/entity/Q2056536,Jake Ellenberger,mixed martial arts,United States
http://www.wikidata.org/entity/Q1046226,Cary J. Kolat,mixed martial arts,United States
http://www.wikidata.org/entity/Q1810841,John-Olav Einemo,mixed martial arts,Norway
http://www.wikidata.org/entity/Q1523288,Liz Carmouche,mixed martial arts,United States
http://www.wikidata.org/entity/Q1712343,Alexis Vila,mixed martial arts,Cuba
http://www.wikidata.org/entity/Q1264500,Kristijan Golubović,mixed martial arts,Serbia
http://www.wikidata.org/entity/Q1101211,Alan Belcher,mixed martial arts,United States
http://www.wikidata.org/entity/Q1956587,Felipe Arantes,mixed martial arts,Brazil
http://www.wikidata.org/entity/Q1148677,Alexey Ignashov,mixed martial arts,Belarus
http://www.wikidata.org/entity/Q2057232,Anthony Pettis,mixed martial arts,United States
http://www.wikidata.org/entity/Q2057808,Chad Mendes,mixed martial arts,United States
http://www.wikidata.org/entity/Q2057895,Donald Cerrone,mixed martial arts,United States
http://www.wikidata.org/entity/Q1058745,Chael Sonnen,mixed martial arts,United States
http://www.wikidata.org/entity/Q1336425,Kevin Randleman,mixed martial arts,United States
http://www.wikidata.org/entity/Q1402979,Felice Herrig,mixed martial arts,United States
http://www.wikidata.org/entity/Q1336512,Genki Sudo,mixed martial arts,Japan
http://www.wikidata.org/entity/Q1705122,Minoru Suzuki,mixed martial arts,Japan
http://www.wikidata.org/entity/Q1154771,Kazushi Sakuraba,mixed martial arts,Japan
http://www.wikidata.org/entity/Q1101480,Pat Barry,mixed martial arts,United States
http://www.wikidata.org/entity/Q2023524,Igor Vovchanchyn,mixed martial arts,Ukraine
http://www.wikidata.org/entity/Q1699112,John Alessio,mixed martial arts,Canada
http://www.wikidata.org/entity/Q1683956,Jason Miller,mixed martial arts,United States
http://www.wikidata.org/entity/Q1672670,Irina Rodina,mixed martial arts,Russia
http://www.wikidata.org/entity/Q1376088,Naoya Ogawa,mixed martial arts,Japan
http://www.wikidata.org/entity/Q1672670,Irina Rodina,mixed martial arts,Soviet Union
http://www.wikidata.org/entity/Q1171177,Shinsuke Nakamura,mixed martial arts,Japan
http://www.wikidata.org/entity/Q1765249,Phoenix Jones,mixed martial arts,United States
http://www.wikidata.org/entity/Q2043434,Amar Suloev,mixed martial arts,Armenia
http://www.wikidata.org/entity/Q1623521,Ali Isayev,mixed martial arts,Russia
http://www.wikidata.org/entity/Q1623521,Ali Isayev,mixed martial arts,Azerbaijan
http://www.wikidata.org/entity/Q1438282,Canek,mixed martial arts,Mexico
http://www.wikidata.org/entity/Q1804806,Dan Evensen,mixed martial arts,Norway
http://www.wikidata.org/entity/Q1439083,Sudsakorn Sor Klinmee,mixed martial arts,Thailand
http://www.wikidata.org/entity/Q1856504,Paulo Thiago,mixed martial arts,Brazil
http://www.wikidata.org/entity/Q1142231,Denis Kang,mixed martial arts,Canada
http://www.wikidata.org/entity/Q1584249,Tom Howard,mixed martial arts,United States
http://www.wikidata.org/entity/Q1102283,Tim Boetsch,mixed martial arts,United States
http://www.wikidata.org/entity/Q1702911,Jonas Billstein,mixed martial arts,Germany
http://www.wikidata.org/entity/Q1379685,Evan Tanner,mixed martial arts,United States
