athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath,careerStart,careerEnd
Q132736383,tennis,1801-01-01T00:00:00Z,1999-01-01T00:00:00Z,1916-01-01T00:00:00Z,1918-01-01T00:00:00Z
Q50975731,swimming,1918-08-27T00:00:00Z,2006-06-01T00:00:00Z,1938-01-01T00:00:00Z,1974-01-01T00:00:00Z
Q55443455,tennis,1923-04-25T00:00:00Z,1995-01-18T00:00:00Z,1937-01-01T00:00:00Z,1970-01-01T00:00:00Z
Abdalelah Haroun,athletics,1997-01-01T00:00:00Z,2021-06-26T00:00:00Z,2006-01-01T00:00:00Z,2021-01-01T00:00:00Z
Abe Berenbaum,table tennis,1901-01-01T00:00:00Z,1999-01-01T00:00:00Z,1934-01-01T00:00:00Z,1937-01-01T00:00:00Z
Abel Kay,tennis,1911-03-07T00:00:00Z,2004-09-26T00:00:00Z,1932-01-01T00:00:00Z,1947-01-01T00:00:00Z
Adam Baworowski,tennis,1913-08-09T00:00:00Z,1942-01-01T00:00:00Z,1929-01-01T00:00:00Z,1941-01-01T00:00:00Z
Adam Baworowski,tennis,1913-08-09T00:00:00Z,1943-08-22T00:00:00Z,1929-01-01T00:00:00Z,1941-01-01T00:00:00Z
Adrian Quist,tennis,1913-01-23T00:00:00Z,1991-11-17T00:00:00Z,1930-01-01T00:00:00Z,1955-01-01T00:00:00Z
Adrian Quist,tennis,1913-08-04T00:00:00Z,1991-11-17T00:00:00Z,1930-01-01T00:00:00Z,1955-01-01T00:00:00Z
Alan Ladd,swimming,1913-09-03T00:00:00Z,1964-01-29T00:00:00Z,1932-01-01T00:00:00Z,1964-01-01T00:00:00Z
Alberto Duñabeitia Mota,athletics,1900-01-07T00:00:00Z,1988-01-01T00:00:00Z,1917-01-01T00:00:00Z,1926-01-01T00:00:00Z
Aleksandr Seleznyov,athletics,1964-01-25T00:00:00Z,2024-02-12T00:00:00Z,1982-01-01T00:00:00Z,2024-01-01T00:00:00Z
Alex Olmedo,tennis,1936-03-24T00:00:00Z,2020-12-09T00:00:00Z,1960-01-01T00:00:00Z,1977-01-01T00:00:00Z
Alex Wilson,athletics,1907-12-01T00:00:00Z,1994-12-09T00:00:00Z,1927-01-01T00:00:00Z,1932-01-01T00:00:00Z
Alexander Vladimirovich Volkov,tennis,1967-03-03T00:00:00Z,2019-10-19T00:00:00Z,1986-01-01T00:00:00Z,1997-01-01T00:00:00Z
Allen Morris,tennis,1932-04-09T00:00:00Z,2017-02-27T00:00:00Z,1953-01-01T00:00:00Z,1971-01-01T00:00:00Z
Andrey Kurennoy,athletics,1972-05-12T00:00:00Z,2008-01-07T00:00:00Z,1994-01-01T00:00:00Z,2002-01-01T00:00:00Z
Andrey Kurennoy,athletics,1973-05-12T00:00:00Z,2008-01-07T00:00:00Z,1994-01-01T00:00:00Z,2002-01-01T00:00:00Z
Andrés Mazali,athletics,1902-07-22T00:00:00Z,1975-10-30T00:00:00Z,1919-01-01T00:00:00Z,1930-01-01T00:00:00Z
Anne Buydens,athletics,1919-04-23T00:00:00Z,2021-04-29T00:00:00Z,1952-01-01T00:00:00Z,2013-01-01T00:00:00Z
Arif Qeybiyev,athletics,1997-06-06T00:00:00Z,2020-09-27T00:00:00Z,2016-01-01T00:00:00Z,2020-01-01T00:00:00Z
Arik Einstein,athletics,1939-01-03T00:00:00Z,2013-11-26T00:00:00Z,1957-01-01T00:00:00Z,2013-01-01T00:00:00Z
Art Larsen,tennis,1925-04-17T00:00:00Z,2012-12-07T00:00:00Z,1948-01-01T00:00:00Z,1956-01-01T00:00:00Z
Arthur Ashe,tennis,1943-07-10T00:00:00Z,1993-02-06T00:00:00Z,1970-01-01T00:00:00Z,1980-01-01T00:00:00Z
Arthur Fontaine,athletics,1911-03-13T00:00:00Z,2002-03-28T00:00:00Z,1936-01-01T00:00:00Z,1948-01-01T00:00:00Z
"Arthur Porritt, Baron Porritt",athletics,1900-08-10T00:00:00Z,1994-01-01T00:00:00Z,1940-01-01T00:00:00Z,1956-01-01T00:00:00Z
Ashley Cooper,tennis,1936-09-15T00:00:00Z,2020-05-22T00:00:00Z,1959-01-01T00:00:00Z,1962-01-01T00:00:00Z
Barbara Scofield,tennis,1926-06-24T00:00:00Z,2023-01-31T00:00:00Z,1943-01-01T00:00:00Z,1972-01-01T00:00:00Z
Barry MacKay,tennis,1935-08-31T00:00:00Z,2012-06-15T00:00:00Z,1961-01-01T00:00:00Z,1970-01-01T00:00:00Z
Barry Phillips-Moore,tennis,1938-06-09T00:00:00Z,2023-06-29T00:00:00Z,1968-01-01T00:00:00Z,1980-01-01T00:00:00Z
Ben Hogan,golf,1912-08-13T00:00:00Z,1997-07-25T00:00:00Z,1930-01-01T00:00:00Z,1971-01-01T00:00:00Z
Bernard Bartzen,tennis,1927-11-25T00:00:00Z,2019-07-10T00:00:00Z,1945-01-01T00:00:00Z,1960-01-01T00:00:00Z
Bernard Destremau,tennis,1917-02-11T00:00:00Z,2002-06-06T00:00:00Z,1934-01-01T00:00:00Z,1963-01-01T00:00:00Z
Bernard Mitton,tennis,1954-11-09T00:00:00Z,2017-05-05T00:00:00Z,1973-01-01T00:00:00Z,1984-01-01T00:00:00Z
