athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath,careerStart,careerEnd
Q120265882,Muay Thai,1984-11-20T00:00:00Z,2015-10-10T00:00:00Z,1998-01-01T00:00:00Z,0200-01-01T00:00:00Z
Q16735693,wrestling,1932-08-26T00:00:00Z,2011-03-01T00:00:00Z,1946-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q18014902,judo,1933-05-12T00:00:00Z,2016-08-14T00:00:00Z,1953-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q540382,association football,1954-01-27T00:00:00Z,2024-11-17T00:00:00Z,1973-01-01T00:00:00Z,2024-01-01T00:00:00Z
A. Postel,association football,1900-01-01T00:00:00Z,2000-01-01T00:00:00Z,1903-01-01T00:00:00Z,1908-01-01T00:00:00Z
A. W. Turner,association football,1850-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/53d03aa565c146a2923a1e954937b11d,1920-01-01T00:00:00Z,1933-01-01T00:00:00Z
Abayubá Ibáñez,association football,2000-01-01T00:00:00Z,2021-01-01T00:00:00Z,1962-01-01T00:00:00Z,1975-01-01T00:00:00Z
Abdallah Azhar,association football,1939-09-21T00:00:00Z,2015-12-13T00:00:00Z,1955-01-01T00:00:00Z,1965-01-01T00:00:00Z
Abdel Hamid Shaheen,association football,1943-01-01T00:00:00Z,2014-07-02T00:00:00Z,1960-01-01T00:00:00Z,1970-01-01T00:00:00Z
Abdelkader El Brazi,association football,1964-11-05T00:00:00Z,2014-01-24T00:00:00Z,1988-01-01T00:00:00Z,2000-01-01T00:00:00Z
Abdelkader Fréha,association football,1942-10-28T00:00:00Z,2012-10-01T00:00:00Z,1957-01-01T00:00:00Z,1977-01-01T00:00:00Z
Abdullah Waleed,association football,1949-01-01T00:00:00Z,2023-03-16T00:00:00Z,1977-01-01T00:00:00Z,2023-01-01T00:00:00Z
Abdulrahman Fawzi,association football,1909-08-11T00:00:00Z,1988-10-16T00:00:00Z,1928-01-01T00:00:00Z,1947-01-01T00:00:00Z
Abe Lenstra,association football,1920-11-27T00:00:00Z,1985-09-02T00:00:00Z,1940-01-01T00:00:00Z,1959-01-01T00:00:00Z
Abel Dhaira,association football,1987-09-09T00:00:00Z,2016-03-27T00:00:00Z,2006-01-01T00:00:00Z,2016-01-01T00:00:00Z
Abel Fernández,association football,1937-10-02T00:00:00Z,2018-04-23T00:00:00Z,1961-01-01T00:00:00Z,1971-01-01T00:00:00Z
Abel Ramírez Herrera,association football,1921-01-01T00:00:00Z,2012-01-01T00:00:00Z,1948-01-01T00:00:00Z,1948-01-01T00:00:00Z
Abel Vieytez,association football,1942-12-07T00:00:00Z,2016-02-15T00:00:00Z,1962-01-01T00:00:00Z,1972-01-01T00:00:00Z
Abilio Rubio,association football,1926-02-07T00:00:00Z,2013-03-02T00:00:00Z,1956-01-01T00:00:00Z,1956-01-01T00:00:00Z
Adam Grad,association football,1969-09-10T00:00:00Z,2015-02-07T00:00:00Z,1988-01-01T00:00:00Z,2007-01-01T00:00:00Z
Adelfo Magallanes,association football,1910-08-29T00:00:00Z,1988-01-15T00:00:00Z,1930-01-01T00:00:00Z,1944-01-01T00:00:00Z
Adelfo Magallanes,association football,1910-08-29T00:00:00Z,1988-01-16T00:00:00Z,1930-01-01T00:00:00Z,1944-01-01T00:00:00Z
Adelfo Magallanes,association football,1913-08-28T00:00:00Z,1988-01-15T00:00:00Z,1930-01-01T00:00:00Z,1944-01-01T00:00:00Z
Adelfo Magallanes,association football,1913-08-28T00:00:00Z,1988-01-16T00:00:00Z,1930-01-01T00:00:00Z,1944-01-01T00:00:00Z
Adelfo Magallanes,association football,1913-08-29T00:00:00Z,1988-01-15T00:00:00Z,1930-01-01T00:00:00Z,1944-01-01T00:00:00Z
Adelfo Magallanes,association football,1913-08-29T00:00:00Z,1988-01-16T00:00:00Z,1930-01-01T00:00:00Z,1944-01-01T00:00:00Z
Ademir de Menezes,association football,1922-11-08T00:00:00Z,1996-05-11T00:00:00Z,1939-01-01T00:00:00Z,1957-01-01T00:00:00Z
Adolf Kunstwadl,association football,1940-02-08T00:00:00Z,2016-11-12T00:00:00Z,1961-01-01T00:00:00Z,1974-01-01T00:00:00Z
Adolf Scherer,association football,1938-05-05T00:00:00Z,2023-07-22T00:00:00Z,1957-01-01T00:00:00Z,1975-01-01T00:00:00Z
Adolf Šimperský,association football,1909-08-05T00:00:00Z,1964-02-15T00:00:00Z,1927-01-01T00:00:00Z,1938-01-01T00:00:00Z
Adolfo García Alonso,association football,1915-10-03T00:00:00Z,1998-05-24T00:00:00Z,1932-01-01T00:00:00Z,1952-01-01T00:00:00Z
Adolfo Olivares,association football,1940-12-20T00:00:00Z,2025-06-23T00:00:00Z,1961-01-01T00:00:00Z,1979-01-01T00:00:00Z
Adolfo Olivares,association football,1943-01-01T00:00:00Z,2025-06-23T00:00:00Z,1961-01-01T00:00:00Z,1979-01-01T00:00:00Z
Adolfo Sarasqueta,association football,1931-11-11T00:00:00Z,2015-05-13T00:00:00Z,1952-01-01T00:00:00Z,1960-01-01T00:00:00Z
Adolfo Suárez Morán,association football,1908-12-28T00:00:00Z,1968-02-15T00:00:00Z,1926-01-01T00:00:00Z,1935-01-01T00:00:00Z
Adrian Dhanaraj,association football,1984-03-09T00:00:00Z,2013-09-11T00:00:00Z,2003-01-01T00:00:00Z,2012-01-01T00:00:00Z
Adílio,association football,1956-05-15T00:00:00Z,2024-08-05T00:00:00Z,1975-01-01T00:00:00Z,1991-01-01T00:00:00Z
