athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath
Q104187164,athletics,1927-06-02T00:00:00Z,2020-08-04T00:00:00Z
Q104187165,swimming,1957-01-01T00:00:00Z,2020-08-08T00:00:00Z
Q105528088,swimming,1997-05-09T00:00:00Z,2021-02-11T00:00:00Z
Q105545975,table tennis,1955-01-01T00:00:00Z,2014-05-07T00:00:00Z
Q105638662,swimming,1952-01-01T00:00:00Z,2021-02-13T00:00:00Z
Q106395148,athletics,1920-05-06T00:00:00Z,2018-12-24T00:00:00Z
Q106407199,athletics,1917-09-07T00:00:00Z,2007-09-09T00:00:00Z
Q106655646,athletics,1923-11-07T00:00:00Z,2013-12-19T00:00:00Z
Q106806178,athletics,1934-11-19T00:00:00Z,2021-03-11T00:00:00Z
Q107299856,athletics,1914-03-07T00:00:00Z,1980-01-01T00:00:00Z
Q107406594,athletics,1945-11-12T00:00:00Z,2021-02-14T00:00:00Z
Q107453874,athletics,1930-06-15T00:00:00Z,2016-07-28T00:00:00Z
Q107454574,athletics,1932-11-29T00:00:00Z,2014-06-22T00:00:00Z
Q107467518,athletics,1944-03-06T00:00:00Z,2017-08-20T00:00:00Z
Q107556359,gymnastics,1887-03-08T00:00:00Z,1922-03-14T00:00:00Z
Q107558859,athletics,1922-10-24T00:00:00Z,2001-03-25T00:00:00Z
Q108691454,athletics,1932-06-14T00:00:00Z,2009-06-22T00:00:00Z
Q109485563,athletics,1919-01-29T00:00:00Z,2012-06-19T00:00:00Z
Q109493954,athletics,1963-02-25T00:00:00Z,1986-09-20T00:00:00Z
Q109930498,tennis,1961-01-01T00:00:00Z,2025-01-03T00:00:00Z
Q110091450,athletics,1956-09-07T00:00:00Z,2025-01-14T00:00:00Z
Q110120564,athletics,1937-02-07T00:00:00Z,2021-01-05T00:00:00Z
Q110322620,swimming,http://www.wikidata.org/.well-known/genid/3009115e3240937821d94a0394fa1819,1999-01-01T00:00:00Z
Q110716315,swimming,1921-05-01T00:00:00Z,1978-03-29T00:00:00Z
Q110740152,tennis,1875-12-13T00:00:00Z,http://www.wikidata.org/.well-known/genid/0afd588124eacd4a344c4301ef2bc4e2
Q110774573,swimming,1911-01-07T00:00:00Z,1997-01-12T00:00:00Z
Q110866808,golf,1915-10-13T00:00:00Z,1955-02-21T00:00:00Z
Q110887955,swimming,1931-01-01T00:00:00Z,2022-02-02T00:00:00Z
Q111650142,tennis,1900-09-12T00:00:00Z,1992-12-12T00:00:00Z
Q111850263,athletics,1958-02-18T00:00:00Z,2020-09-18T00:00:00Z
Q112229367,athletics,1931-02-25T00:00:00Z,2021-11-15T00:00:00Z
Q112350971,gymnastics,1907-01-01T00:00:00Z,1987-02-01T00:00:00Z
Q112363326,athletics,1919-08-04T00:00:00Z,1999-02-06T00:00:00Z
Q112486772,table tennis,1935-01-01T00:00:00Z,2021-04-09T00:00:00Z
Q112585792,swimming,1920-01-15T00:00:00Z,1982-01-01T00:00:00Z
Q112976897,athletics,1902-04-07T00:00:00Z,1989-01-01T00:00:00Z
Q112989830,table tennis,1928-05-08T00:00:00Z,2019-01-06T00:00:00Z
Q112989947,athletics,1927-12-24T00:00:00Z,2023-05-16T00:00:00Z
Q112989949,athletics,1925-11-06T00:00:00Z,2008-12-18T00:00:00Z
Q112989952,athletics,1944-09-20T00:00:00Z,2015-05-29T00:00:00Z
Q112989955,athletics,1938-09-30T00:00:00Z,2020-09-14T00:00:00Z
Q112989958,athletics,1928-07-15T00:00:00Z,2021-01-02T00:00:00Z
Q112989961,athletics,1931-08-29T00:00:00Z,1992-04-09T00:00:00Z
Q112990756,swimming,1909-06-25T00:00:00Z,1986-01-01T00:00:00Z
Q113411849,athletics,1914-09-30T00:00:00Z,1938-02-08T00:00:00Z
Q113522071,tennis,1891-01-01T00:00:00Z,1951-01-01T00:00:00Z
Q113815262,athletics,1933-05-28T00:00:00Z,2016-10-16T00:00:00Z
Q113956909,swimming,1922-01-01T00:00:00Z,1994-01-01T00:00:00Z
Q115207076,swimming,1902-11-30T00:00:00Z,1976-08-15T00:00:00Z
Q115660748,swimming,1957-01-09T00:00:00Z,1987-01-01T00:00:00Z
Q116687720,athletics,1941-10-02T00:00:00Z,2022-03-01T00:00:00Z
Q117715676,gymnastics,1935-08-02T00:00:00Z,1999-11-10T00:00:00Z
Q117837916,athletics,1931-06-13T00:00:00Z,1998-09-02T00:00:00Z
Q120679147,tennis,1868-10-10T00:00:00Z,1923-01-09T00:00:00Z
Q121140063,athletics,1912-05-28T00:00:00Z,1985-09-12T00:00:00Z
Q12187354,gymnastics,1907-01-01T00:00:00Z,1997-01-01T00:00:00Z
Q122168459,athletics,1958-05-30T00:00:00Z,2023-07-01T00:00:00Z
Q122168580,athletics,1952-03-11T00:00:00Z,2021-07-01T00:00:00Z
Q12265690,swimming,1904-09-27T00:00:00Z,1999-02-19T00:00:00Z
Q122931139,athletics,1945-01-01T00:00:00Z,2023-09-30T00:00:00Z
Q123058957,gymnastics,1953-01-01T00:00:00Z,2023-10-01T00:00:00Z
Q123196076,swimming,1934-12-22T00:00:00Z,2021-12-01T00:00:00Z
Q123340923,athletics,1933-07-10T00:00:00Z,1995-06-09T00:00:00Z
Q123361063,swimming,1957-09-23T00:00:00Z,2022-04-01T00:00:00Z
Q123361095,table tennis,1970-12-08T00:00:00Z,2022-04-01T00:00:00Z
Q123560708,athletics,1963-01-01T00:00:00Z,2023-11-26T00:00:00Z
Q12408001,swimming,1918-12-09T00:00:00Z,2003-06-25T00:00:00Z
Q124598039,athletics,1903-06-13T00:00:00Z,1979-03-20T00:00:00Z
Q124598952,athletics,1926-09-06T00:00:00Z,1995-06-02T00:00:00Z
Q124599019,tennis,1945-06-16T00:00:00Z,1992-05-12T00:00:00Z
Q125579880,athletics,1897-01-01T00:00:00Z,1925-02-06T00:00:00Z
Q125579959,athletics,1921-01-01T00:00:00Z,1994-09-28T00:00:00Z
Q125731838,athletics,1935-03-11T00:00:00Z,2024-04-27T00:00:00Z
Q126141909,gymnastics,1938-07-05T00:00:00Z,2019-11-20T00:00:00Z
Q126146654,gymnastics,1894-06-06T00:00:00Z,1962-11-12T00:00:00Z
Q126371658,swimming,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z
Q127394948,athletics,2000-09-08T00:00:00Z,2024-07-10T00:00:00Z
Q12747626,gymnastics,1942-02-14T00:00:00Z,2008-10-12T00:00:00Z
Q12748197,athletics,1899-04-18T00:00:00Z,1975-07-12T00:00:00Z
Q129948838,athletics,1900-01-01T00:00:00Z,1989-01-01T00:00:00Z
Q130331793,athletics,1942-05-16T00:00:00Z,2016-02-12T00:00:00Z
Q130493848,athletics,1928-05-15T00:00:00Z,2017-06-21T00:00:00Z
Q130522011,athletics,1948-08-25T00:00:00Z,1985-05-15T00:00:00Z
Q130632803,athletics,1925-11-03T00:00:00Z,2024-10-01T00:00:00Z
Q131344698,athletics,1930-01-01T00:00:00Z,2019-11-28T00:00:00Z
Q131649244,tennis,1904-06-08T00:00:00Z,1979-03-25T00:00:00Z
Q131749595,athletics,1925-11-18T00:00:00Z,2006-09-12T00:00:00Z
Q131763721,gymnastics,1933-01-01T00:00:00Z,2025-01-14T00:00:00Z
Q131934738,tennis,1884-03-26T00:00:00Z,1999-01-01T00:00:00Z
Q132175820,table tennis,1920-01-01T00:00:00Z,1994-01-01T00:00:00Z
Q132704382,athletics,1903-12-29T00:00:00Z,1999-01-01T00:00:00Z
Q132726927,tennis,1922-01-01T00:00:00Z,1944-08-26T00:00:00Z
Q132736383,tennis,1801-01-01T00:00:00Z,1999-01-01T00:00:00Z
Q133825120,golf,1935-09-17T00:00:00Z,2012-08-17T00:00:00Z
Q133842812,athletics,1909-06-06T00:00:00Z,2006-04-26T00:00:00Z
Q134238145,athletics,1979-12-25T00:00:00Z,2025-01-01T00:00:00Z
Q134531556,athletics,1911-01-01T00:00:00Z,1981-09-23T00:00:00Z
Q134578960,athletics,1892-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/9fca92a23e31adf6c063e951a9994903
Q134707087,athletics,1991-01-04T00:00:00Z,2025-01-01T00:00:00Z
Q14623826,tennis,1891-01-01T00:00:00Z,1964-02-09T00:00:00Z
Q15064484,swimming,1938-02-10T00:00:00Z,2017-03-14T00:00:00Z
Q16129070,athletics,1913-01-01T00:00:00Z,1999-01-01T00:00:00Z
Q16131804,athletics,1927-01-01T00:00:00Z,1972-08-04T00:00:00Z
Q16260813,athletics,1933-02-08T00:00:00Z,2007-01-27T00:00:00Z
Q16328039,swimming,1909-01-01T00:00:00Z,1959-01-01T00:00:00Z
Q16331728,athletics,1928-01-01T00:00:00Z,2013-05-04T00:00:00Z
Q16339178,swimming,1949-01-17T00:00:00Z,2021-11-19T00:00:00Z
Q16340064,swimming,1939-01-19T00:00:00Z,1997-08-08T00:00:00Z
Q16342163,swimming,1917-07-14T00:00:00Z,2008-09-28T00:00:00Z
Q16404141,tennis,1929-10-03T00:00:00Z,2009-09-15T00:00:00Z
Q17505340,swimming,1937-01-01T00:00:00Z,2002-05-28T00:00:00Z
Q1799677,swimming,1912-12-31T00:00:00Z,1993-01-01T00:00:00Z
Q1800784,athletics,1908-02-16T00:00:00Z,1994-01-01T00:00:00Z
Q1800911,athletics,1903-01-20T00:00:00Z,1938-08-26T00:00:00Z
Q1800992,athletics,1919-08-22T00:00:00Z,1976-01-01T00:00:00Z
Q18041906,swimming,1942-01-01T00:00:00Z,2024-07-20T00:00:00Z
Q180851,athletics,1902-01-01T00:00:00Z,1991-01-01T00:00:00Z
Q18571406,swimming,1972-05-08T00:00:00Z,2000-08-30T00:00:00Z
Q18714127,swimming,1930-01-01T00:00:00Z,1992-01-01T00:00:00Z
Q18936474,swimming,1943-02-14T00:00:00Z,2006-11-11T00:00:00Z
Q19201027,swimming,1946-02-09T00:00:00Z,2022-05-18T00:00:00Z
Q19295825,gymnastics,1932-06-08T00:00:00Z,2014-12-09T00:00:00Z
Q19358336,swimming,1927-01-01T00:00:00Z,1994-01-01T00:00:00Z
Q19692620,athletics,1933-12-03T00:00:00Z,2014-10-25T00:00:00Z
Q21126533,athletics,1912-01-01T00:00:00Z,1999-01-01T00:00:00Z
Q21154876,gymnastics,1928-08-01T00:00:00Z,1988-08-01T00:00:00Z
Q21570433,swimming,1918-05-25T00:00:00Z,2011-06-09T00:00:00Z
Q21643508,tennis,1909-11-19T00:00:00Z,1989-08-29T00:00:00Z
Q21843432,tennis,1898-01-01T00:00:00Z,1936-01-01T00:00:00Z
Q21857007,tennis,1903-10-06T00:00:00Z,1972-06-29T00:00:00Z
Q22674838,athletics,1903-01-01T00:00:00Z,1938-04-02T00:00:00Z
Q23659519,athletics,1940-05-24T00:00:00Z,2022-12-03T00:00:00Z
Q23793213,athletics,1941-01-01T00:00:00Z,2002-03-28T00:00:00Z
Q24631314,athletics,1944-01-01T00:00:00Z,2018-04-12T00:00:00Z
Q2527654,table tennis,1937-10-11T00:00:00Z,2008-01-04T00:00:00Z
Q27058027,golf,1914-01-22T00:00:00Z,1990-02-20T00:00:00Z
Q27949684,tennis,1937-12-01T00:00:00Z,1993-01-01T00:00:00Z
Q27990433,athletics,1940-09-26T00:00:00Z,2011-10-02T00:00:00Z
Q28039422,athletics,1945-05-16T00:00:00Z,2016-12-18T00:00:00Z
Q28703203,athletics,1934-07-11T00:00:00Z,2012-11-24T00:00:00Z
Q28857215,swimming,1931-03-15T00:00:00Z,1962-11-09T00:00:00Z
Q28859770,athletics,1923-08-30T00:00:00Z,2001-11-16T00:00:00Z
Q28870144,athletics,1906-01-01T00:00:00Z,1972-01-09T00:00:00Z
Q28940358,athletics,1923-06-19T00:00:00Z,2004-04-24T00:00:00Z
Q28940359,athletics,1927-01-01T00:00:00Z,2008-01-01T00:00:00Z
Q28969521,athletics,1910-01-12T00:00:00Z,http://www.wikidata.org/.well-known/genid/b2bda6abc3ac8ff53daadb37b42a7c49
Q29358862,tennis,1948-12-19T00:00:00Z,2016-07-19T00:00:00Z
Q30345865,tennis,1915-10-29T00:00:00Z,1995-10-28T00:00:00Z
Q30390585,athletics,1910-01-01T00:00:00Z,1978-12-21T00:00:00Z
Q30606026,athletics,1926-10-13T00:00:00Z,2017-02-10T00:00:00Z
Q33061108,swimming,1909-10-05T00:00:00Z,1963-01-01T00:00:00Z
Q33071851,swimming,1912-01-01T00:00:00Z,1977-01-01T00:00:00Z
Q33077328,swimming,1917-05-19T00:00:00Z,1990-08-28T00:00:00Z
Q33105198,athletics,1912-01-01T00:00:00Z,1999-01-01T00:00:00Z
Q33380211,swimming,1931-07-14T00:00:00Z,2016-07-19T00:00:00Z
Q36304276,athletics,1942-02-05T00:00:00Z,2021-07-22T00:00:00Z
Q38350242,tennis,1927-11-17T00:00:00Z,1978-03-07T00:00:00Z
Q38888582,swimming,1905-01-01T00:00:00Z,1971-01-01T00:00:00Z
Q39040197,swimming,1923-04-02T00:00:00Z,2010-06-22T00:00:00Z
Q39082775,athletics,1931-10-21T00:00:00Z,2022-01-19T00:00:00Z
Q39083888,swimming,1969-02-25T00:00:00Z,2020-01-14T00:00:00Z
Q40023591,athletics,1929-10-06T00:00:00Z,2017-11-27T00:00:00Z
Q40039559,swimming,1937-07-09T00:00:00Z,2019-10-02T00:00:00Z
Q40346436,gymnastics,1867-01-13T00:00:00Z,1935-01-01T00:00:00Z
Q4081968,tennis,1921-02-26T00:00:00Z,2000-07-30T00:00:00Z
Q41182839,tennis,1930-08-05T00:00:00Z,2007-01-26T00:00:00Z
Q4142941,tennis,1898-03-31T00:00:00Z,1981-11-12T00:00:00Z
Q41573742,athletics,1920-01-01T00:00:00Z,2000-01-01T00:00:00Z
Q41579887,swimming,1939-07-19T00:00:00Z,http://www.wikidata.org/.well-known/genid/728e5877737b63d1945629abcb03bc90
Q4279689,athletics,1969-01-10T00:00:00Z,2004-09-03T00:00:00Z
Q4298242,athletics,1912-12-16T00:00:00Z,2002-11-17T00:00:00Z
Q4315988,tennis,1908-11-24T00:00:00Z,1985-01-30T00:00:00Z
Q4362498,athletics,1912-01-01T00:00:00Z,1983-01-01T00:00:00Z
