athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath
Q101252366,ice hockey,1937-12-08T00:00:00Z,2021-10-09T00:00:00Z
Q102108384,association football,1926-07-21T00:00:00Z,1981-01-01T00:00:00Z
Q102179690,judo,1933-03-12T00:00:00Z,2020-10-16T00:00:00Z
Q102312918,wrestling,1947-01-01T00:00:00Z,2020-11-19T00:00:00Z
Q103843225,association football,1925-01-01T00:00:00Z,2010-12-01T00:00:00Z
Q10415523,association football,1963-06-10T00:00:00Z,2011-06-03T00:00:00Z
Q104187142,association football,1939-01-01T00:00:00Z,2020-09-24T00:00:00Z
Q105094590,judo,1953-04-18T00:00:00Z,2020-11-09T00:00:00Z
Q105697980,association football,1942-01-01T00:00:00Z,2017-11-08T00:00:00Z
Q106080429,association football,1935-01-01T00:00:00Z,1979-07-18T00:00:00Z
Q106314750,association football,1955-03-09T00:00:00Z,2007-01-01T00:00:00Z
Q106370734,karate,1987-08-02T00:00:00Z,2020-10-22T00:00:00Z
Q106457033,association football,1934-12-14T00:00:00Z,2025-03-25T00:00:00Z
Q106630440,ice hockey,1917-06-27T00:00:00Z,2000-07-08T00:00:00Z
Q106634595,ice hockey,1962-10-25T00:00:00Z,2017-04-21T00:00:00Z
Q106671580,association football,1935-12-14T00:00:00Z,2021-04-20T00:00:00Z
Q106906860,association football,1962-05-24T00:00:00Z,2023-09-20T00:00:00Z
Q107102331,association football,1937-02-12T00:00:00Z,2014-06-14T00:00:00Z
Q107207983,association football,1924-07-10T00:00:00Z,1995-06-26T00:00:00Z
Q107309413,association football,1944-05-23T00:00:00Z,2021-06-20T00:00:00Z
Q107529495,association football,1958-12-07T00:00:00Z,2018-03-14T00:00:00Z
Q107665944,association football,1919-03-09T00:00:00Z,1993-09-08T00:00:00Z
Q107749215,association football,1906-01-01T00:00:00Z,1942-01-01T00:00:00Z
Q107782332,judo,1913-05-11T00:00:00Z,1997-01-01T00:00:00Z
Q107782393,judo,1927-03-23T00:00:00Z,2018-10-25T00:00:00Z
Q107782512,judo,1925-08-12T00:00:00Z,2008-01-01T00:00:00Z
Q108353101,association football,1937-08-15T00:00:00Z,2003-01-25T00:00:00Z
Q108412125,association football,2002-03-18T00:00:00Z,2021-08-16T00:00:00Z
Q108786502,judo,1947-09-11T00:00:00Z,2023-01-13T00:00:00Z
Q109076364,association football,1911-02-23T00:00:00Z,1971-02-16T00:00:00Z
Q10919144,karate,1886-01-01T00:00:00Z,1940-05-28T00:00:00Z
Q109338717,association football,1966-02-18T00:00:00Z,1996-01-01T00:00:00Z
Q109451999,association football,1937-08-30T00:00:00Z,2021-07-07T00:00:00Z
Q109453035,association football,1912-09-04T00:00:00Z,1975-06-18T00:00:00Z
Q109493488,association football,1953-10-22T00:00:00Z,2020-06-25T00:00:00Z
Q109493704,association football,1932-10-30T00:00:00Z,2001-01-13T00:00:00Z
Q109494919,judo,1963-06-27T00:00:00Z,2008-09-14T00:00:00Z
Q109495140,judo,1992-07-20T00:00:00Z,2021-09-13T00:00:00Z
Q110238302,association football,1992-01-01T00:00:00Z,2021-12-22T00:00:00Z
Q110263532,association football,1991-01-01T00:00:00Z,2021-12-25T00:00:00Z
Q110714908,association football,1933-01-01T00:00:00Z,2017-03-11T00:00:00Z
Q110770656,ice hockey,1953-07-27T00:00:00Z,1989-01-01T00:00:00Z
Q110809562,wrestling,1888-01-01T00:00:00Z,1943-01-01T00:00:00Z
Q110809567,wrestling,1936-01-01T00:00:00Z,1988-01-01T00:00:00Z
Q110809572,wrestling,1956-01-01T00:00:00Z,2023-12-15T00:00:00Z
Q11096723,association football,1940-04-05T00:00:00Z,2009-03-31T00:00:00Z
Q111439488,ice hockey,1966-02-15T00:00:00Z,2018-02-19T00:00:00Z
Q111441660,ice hockey,1959-04-09T00:00:00Z,1996-01-02T00:00:00Z
Q111474637,association football,1960-04-03T00:00:00Z,2019-04-12T00:00:00Z
Q111744759,association football,1949-10-04T00:00:00Z,2020-03-26T00:00:00Z
Q111878439,association football,1923-11-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/dfcf43923f2104786f9a8ff2a94ca76f
Q111998754,association football,1912-09-26T00:00:00Z,1944-01-30T00:00:00Z
Q112175966,ice hockey,1970-03-02T00:00:00Z,2013-01-08T00:00:00Z
Q112182420,association football,1914-01-01T00:00:00Z,1970-01-01T00:00:00Z
Q112265290,association football,1954-09-15T00:00:00Z,2022-06-04T00:00:00Z
Q112316515,association football,1945-01-01T00:00:00Z,2012-07-14T00:00:00Z
Q112346699,association football,1907-01-01T00:00:00Z,1969-07-31T00:00:00Z
